transaction_id,user_id,timestamp,amount,device_type,location,is_vpn,card_type,is_fraud
T81295,U98614,2025-12-28T17:39:30.731706Z,454.59,tablet,"Florida, USA",False,debit,0
T95981,U70713,2025-05-03T17:39:30.731706Z,194.61,desktop,"Florida, USA",False,credit,1
T30932,U39855,2025-02-02T17:39:30.731706Z,81.73,tablet,"Florida, USA",False,debit,0
T22183,U39299,2025-04-09T17:39:30.731706Z,2057.39,desktop,"Florida, USA",False,prepaid,1
T48360,U92018,2025-06-26T17:39:30.731706Z,1.27,desktop,"New York, USA",False,prepaid,0
T48467,U33328,2025-10-28T17:39:30.731706Z,49.25,tablet,"Texas, USA",False,credit,0
T50818,U55525,2025-02-15T17:39:30.731706Z,69.93,desktop,"New York, USA",False,debit,0
T40746,U59377,2025-10-28T17:39:30.731706Z,523.83,tablet,"Florida, USA",False,credit,1
T66835,U83744,2025-07-15T17:39:30.731706Z,705.27,mobile,"New York, USA",False,prepaid,0
T43828,U28711,2026-01-08T17:39:30.731706Z,419.2,mobile,"Texas, USA",False,credit,1
T20492,U16102,2025-07-04T17:39:30.731706Z,95.29,desktop,"California, USA",False,debit,0
T61885,U46631,2025-05-18T17:39:30.731706Z,238.63,desktop,"Texas, USA",True,prepaid,0
T55017,U76320,2025-05-08T17:39:30.731706Z,298.52,tablet,"New York, USA",False,credit,0
T59689,U60993,2025-02-06T17:39:30.731706Z,21.28,tablet,"California, USA",False,credit,0
T80031,U86429,2025-06-16T17:39:30.731706Z,117.73,desktop,"Florida, USA",False,debit,0
T62921,U59726,2025-08-02T17:39:30.731706Z,84.41,desktop,"New York, USA",True,debit,0
T25338,U78027,2025-05-05T17:39:30.731706Z,553.99,mobile,"Florida, USA",True,credit,1
T64021,U76412,2026-01-09T17:39:30.731706Z,194.48,tablet,"Florida, USA",False,credit,0
T93613,U96672,2025-05-24T17:39:30.731706Z,236.89,desktop,"Texas, USA",True,debit,1
T61990,U11150,2025-06-02T17:39:30.731706Z,142.73,mobile,"Texas, USA",True,debit,1
T30056,U55543,2025-09-18T17:39:30.731706Z,82.1,mobile,"Texas, USA",False,credit,0
T69638,U83666,2025-04-10T17:39:30.731706Z,208.7,tablet,"California, USA",True,credit,0
T64340,U54078,2025-04-28T17:39:30.731706Z,483.55,mobile,"Florida, USA",True,debit,0
T72752,U66573,2025-09-03T17:39:30.731706Z,262.29,desktop,"New York, USA",False,debit,0
T75417,U33289,2025-06-20T17:39:30.731706Z,174.86,mobile,"Florida, USA",False,prepaid,0
T59115,U98223,2025-12-30T17:39:30.731706Z,642.59,desktop,"Texas, USA",False,credit,1
T48304,U79449,2025-03-08T17:39:30.731706Z,163.42,mobile,"Florida, USA",True,debit,1
T37350,U35351,2025-04-27T17:39:30.731706Z,465.88,desktop,"New York, USA",False,credit,0
T92745,U99588,2025-05-18T17:39:30.731706Z,247.85,mobile,"Florida, USA",False,credit,0
T54425,U48756,2025-08-04T17:39:30.731706Z,643.38,tablet,"Florida, USA",True,credit,1
T69031,U98726,2025-08-02T17:39:30.731706Z,618.92,mobile,"Texas, USA",False,credit,1
T65069,U24397,2025-04-18T17:39:30.731706Z,437.83,desktop,"California, USA",False,credit,0
T73932,U82936,2025-04-10T17:39:30.731706Z,109.59,desktop,"Texas, USA",False,prepaid,0
T18335,U96900,2025-04-03T17:39:30.731706Z,86.76,mobile,"Florida, USA",False,credit,0
T37192,U11062,2025-05-13T17:39:30.731706Z,2004.47,desktop,"Texas, USA",False,debit,1
T48102,U84460,2025-09-16T17:39:30.731706Z,305.9,tablet,"Florida, USA",False,debit,0
T87052,U54261,2025-01-31T17:39:30.731706Z,138.82,desktop,"California, USA",False,debit,0
T98092,U64693,2025-12-29T17:39:30.731706Z,217.65,mobile,"California, USA",False,credit,0
T47080,U11324,2025-06-05T17:39:30.731706Z,323.34,tablet,"Texas, USA",False,debit,1
T35289,U65129,2025-02-12T17:39:30.731706Z,88.41,tablet,"California, USA",True,debit,1
T65771,U67799,2025-12-07T17:39:30.731706Z,432.61,tablet,"California, USA",False,debit,0
T38016,U33960,2025-12-02T17:39:30.731706Z,187.89,mobile,"New York, USA",False,credit,0
T44620,U30559,2025-08-25T17:39:30.731706Z,3717.62,mobile,"Florida, USA",False,credit,1
T27640,U62528,2025-02-07T17:39:30.731706Z,87.21,mobile,"California, USA",False,prepaid,0
T34504,U17114,2025-02-05T17:39:30.731706Z,2390.21,desktop,"Florida, USA",True,credit,1
T56427,U71529,2025-06-09T17:39:30.731706Z,108.99,desktop,"Florida, USA",True,credit,0
T57605,U48088,2025-08-24T17:39:30.731706Z,230.82,mobile,"California, USA",False,credit,0
T66178,U59407,2025-08-09T17:39:30.731706Z,712.8,desktop,"New York, USA",False,debit,1
T47892,U11015,2025-11-09T17:39:30.731706Z,375.82,desktop,"Florida, USA",False,prepaid,0
T14158,U72680,2026-01-01T17:39:30.731706Z,441.76,mobile,"California, USA",True,credit,0
T10384,U10404,2025-12-01T17:39:30.731706Z,500.11,mobile,"California, USA",False,debit,0
T33574,U33524,2025-03-18T17:39:30.731706Z,2172.13,desktop,"Texas, USA",True,debit,1
T44816,U55106,2025-07-16T17:39:30.731706Z,232.96,desktop,"California, USA",False,debit,0
T17239,U24489,2025-10-01T17:39:30.731706Z,183.65,desktop,"Texas, USA",False,credit,0
T34285,U47626,2025-12-03T17:39:30.731706Z,222.87,tablet,"Texas, USA",False,credit,0
T47441,U63682,2025-05-07T17:39:30.731706Z,36.65,desktop,"New York, USA",False,debit,0
T33386,U71886,2025-11-28T17:39:30.731706Z,198.21,mobile,"Florida, USA",False,debit,0
T53088,U49811,2025-06-11T17:39:30.731706Z,652.92,desktop,"California, USA",False,credit,0
T24388,U15569,2025-08-17T17:39:30.731706Z,175.97,tablet,"Florida, USA",False,prepaid,1
T90719,U81774,2025-02-01T17:39:30.731706Z,49.63,mobile,"Texas, USA",False,prepaid,0
T85697,U38732,2025-05-26T17:39:30.731706Z,63.35,mobile,"California, USA",False,debit,0
T89252,U49749,2025-01-25T17:39:30.731706Z,191.12,desktop,"New York, USA",False,debit,0
T91818,U33624,2025-11-02T17:39:30.731706Z,401.62,mobile,"New York, USA",True,debit,0
T62796,U14432,2025-02-19T17:39:30.731706Z,506.81,mobile,"Texas, USA",True,prepaid,0
T10055,U18717,2025-02-21T17:39:30.731706Z,115.08,desktop,"California, USA",True,prepaid,0
T15126,U15122,2025-05-15T17:39:30.731706Z,465.18,tablet,"Texas, USA",True,debit,0
T44674,U45854,2025-08-04T17:39:30.731706Z,78.42,mobile,"Florida, USA",True,credit,0
T16229,U66793,2025-05-30T17:39:30.731706Z,95.67,mobile,"California, USA",False,debit,1
T36734,U16371,2025-05-15T17:39:30.731706Z,1001.19,tablet,"Florida, USA",False,prepaid,1
T70004,U72981,2025-07-23T17:39:30.731706Z,259.56,desktop,"Texas, USA",False,credit,0
T38024,U68656,2025-06-23T17:39:30.731706Z,63.83,desktop,"Texas, USA",False,debit,0
T86125,U23918,2025-06-25T17:39:30.731706Z,567.69,tablet,"Texas, USA",False,credit,0
T48110,U26389,2025-12-12T17:39:30.731706Z,643.51,tablet,"Florida, USA",True,debit,1
T94471,U23234,2025-03-27T17:39:30.731706Z,662.6,tablet,"Texas, USA",False,prepaid,0
T16469,U40105,2025-05-22T17:39:30.731706Z,930.87,mobile,"Florida, USA",True,prepaid,1
T88477,U52533,2025-11-13T17:39:30.731706Z,529.07,tablet,"Florida, USA",False,prepaid,1
T69383,U75545,2025-10-12T17:39:30.731706Z,16.37,desktop,"California, USA",False,credit,0
T29216,U89767,2025-03-03T17:39:30.731706Z,132.69,desktop,"Texas, USA",False,debit,0
T52929,U77444,2025-06-10T17:39:30.731706Z,172.06,tablet,"Texas, USA",False,debit,1
T97388,U18007,2025-10-18T17:39:30.731706Z,396.51,desktop,"Florida, USA",True,credit,0
T29282,U33930,2025-04-12T17:39:30.731706Z,185.09,mobile,"California, USA",False,debit,0
T85046,U39287,2025-02-07T17:39:30.731706Z,1724.45,mobile,"New York, USA",False,prepaid,1
T29096,U77728,2025-09-06T17:39:30.731706Z,124.18,desktop,"New York, USA",True,prepaid,0
T51157,U64917,2025-04-01T17:39:30.731706Z,247.02,desktop,"Florida, USA",True,prepaid,0
T69379,U35053,2025-09-12T17:39:30.731706Z,212.83,mobile,"New York, USA",False,credit,0
T92870,U12336,2025-10-05T17:39:30.731706Z,57.21,desktop,"New York, USA",False,debit,0
T65180,U33710,2025-11-23T17:39:30.731706Z,468.44,tablet,"California, USA",False,credit,0
T13756,U30609,2025-04-29T17:39:30.731706Z,228.1,desktop,"Texas, USA",False,prepaid,0
T86325,U22999,2025-02-16T17:39:30.731706Z,464.93,desktop,"Texas, USA",True,credit,1
T27368,U25328,2025-05-15T17:39:30.731706Z,323.74,tablet,"Florida, USA",True,credit,0
T10126,U62329,2025-04-26T17:39:30.731706Z,351.83,mobile,"New York, USA",True,debit,1
T13797,U57882,2025-10-08T17:39:30.731706Z,90.13,mobile,"New York, USA",False,debit,1
T63173,U47430,2025-06-22T17:39:30.731706Z,357.69,mobile,"California, USA",True,credit,1
T23224,U50738,2025-03-28T17:39:30.731706Z,133.82,desktop,"Texas, USA",False,prepaid,0
T67761,U46368,2025-06-01T17:39:30.731706Z,63.6,tablet,"Texas, USA",False,credit,0
T55765,U29956,2026-01-03T17:39:30.731706Z,93.3,mobile,"Texas, USA",False,debit,0
T37696,U80480,2025-04-18T17:39:30.731706Z,153.58,desktop,"New York, USA",True,credit,0
T30806,U85520,2025-09-05T17:39:30.731706Z,17.36,tablet,"Texas, USA",False,prepaid,0
T12717,U69676,2025-11-25T17:39:30.731706Z,9.31,desktop,"Florida, USA",False,debit,0
T48258,U58302,2025-08-06T17:39:30.731706Z,191.14,mobile,"New York, USA",False,prepaid,0
T65168,U62487,2025-03-20T17:39:30.731706Z,730.23,desktop,"New York, USA",False,debit,0
T91974,U36399,2025-07-21T17:39:30.731706Z,504.34,mobile,"California, USA",False,prepaid,0
T84055,U66373,2025-09-30T17:39:30.731706Z,402.25,tablet,"Texas, USA",False,prepaid,0
T83506,U44911,2025-04-22T17:39:30.731706Z,960.82,desktop,"Texas, USA",False,credit,1
T96925,U76358,2025-01-31T17:39:30.731706Z,250.76,mobile,"Texas, USA",False,credit,0
T60460,U41419,2025-04-16T17:39:30.731706Z,1673.9,tablet,"California, USA",False,debit,1
T86918,U24596,2025-11-13T17:39:30.731706Z,394.98,desktop,"California, USA",False,prepaid,1
T27771,U39975,2025-04-15T17:39:30.731706Z,1521.38,tablet,"New York, USA",False,credit,1
T37856,U12573,2025-02-02T17:39:30.731706Z,195.02,mobile,"California, USA",False,debit,0
T61693,U65961,2025-02-22T17:39:30.731706Z,47.09,tablet,"California, USA",True,debit,0
T48243,U67384,2025-02-27T17:39:30.731706Z,201.96,mobile,"New York, USA",False,prepaid,0
T26725,U71396,2025-02-20T17:39:30.731706Z,575.69,desktop,"Texas, USA",False,credit,0
T84182,U69052,2025-08-02T17:39:30.731706Z,182.93,desktop,"Florida, USA",False,credit,0
T21555,U97410,2025-11-02T17:39:30.731706Z,17.67,tablet,"Florida, USA",False,credit,0
T38769,U63302,2025-05-15T17:39:30.731706Z,2310.75,desktop,"California, USA",False,debit,1
T77298,U41987,2025-12-27T17:39:30.731706Z,171.48,mobile,"Texas, USA",False,debit,0
T25048,U45111,2025-02-10T17:39:30.731706Z,133.09,mobile,"Texas, USA",False,credit,0
T55186,U38145,2025-09-10T17:39:30.731706Z,0.59,tablet,"New York, USA",True,prepaid,0
T79626,U16960,2025-02-10T17:39:30.731706Z,750.12,tablet,"California, USA",True,debit,0
T10338,U81431,2025-06-22T17:39:30.731706Z,1067.33,mobile,"New York, USA",False,credit,1
T87454,U37935,2025-10-17T17:39:30.731706Z,665.53,mobile,"Texas, USA",False,debit,1
T54813,U47198,2025-05-21T17:39:30.731706Z,984.85,tablet,"Florida, USA",True,prepaid,1
T16737,U46062,2025-05-07T17:39:30.731706Z,28.28,tablet,"Florida, USA",True,credit,1
T12983,U30662,2026-01-23T17:39:30.731706Z,212.41,mobile,"Florida, USA",False,credit,0
T89273,U84859,2025-12-01T17:39:30.731706Z,464.84,desktop,"New York, USA",True,credit,1
T58543,U23919,2025-09-08T17:39:30.731706Z,18.15,desktop,"Florida, USA",True,credit,0
T83972,U72187,2025-07-28T17:39:30.731706Z,217.33,tablet,"California, USA",False,credit,0
T22676,U20816,2025-07-20T17:39:30.731706Z,29.27,desktop,"Florida, USA",False,debit,0
T50600,U67775,2025-08-05T17:39:30.731706Z,602.93,tablet,"California, USA",True,credit,0
T53001,U77364,2025-03-26T17:39:30.731706Z,74.93,desktop,"Texas, USA",False,debit,0
T39757,U44636,2025-09-07T17:39:30.731706Z,45.69,tablet,"Florida, USA",False,prepaid,0
T74754,U44157,2025-12-20T17:39:30.731706Z,12.02,mobile,"New York, USA",True,debit,0
T91412,U60948,2025-03-19T17:39:30.731706Z,2607.81,mobile,"California, USA",False,debit,1
T52874,U17657,2025-07-21T17:39:30.731706Z,168.92,mobile,"Florida, USA",False,prepaid,0
T17287,U43660,2025-04-23T17:39:30.731706Z,224.7,desktop,"California, USA",True,credit,0
T53642,U75160,2025-08-07T17:39:30.731706Z,778.92,desktop,"California, USA",False,credit,0
T60106,U91121,2025-05-28T17:39:30.731706Z,116.58,tablet,"California, USA",True,debit,0
T19903,U13020,2025-11-04T17:39:30.731706Z,19.8,mobile,"New York, USA",False,debit,0
T29129,U11591,2025-03-05T17:39:30.731706Z,283.31,tablet,"California, USA",False,debit,0
T29623,U77675,2026-01-12T17:39:30.731706Z,42.8,mobile,"California, USA",False,credit,0
T96206,U79274,2025-07-31T17:39:30.731706Z,129.52,tablet,"California, USA",False,prepaid,1
T88249,U12719,2026-01-22T17:39:30.731706Z,194.69,tablet,"Texas, USA",True,debit,1
T43062,U85713,2025-09-05T17:39:30.731706Z,65.88,tablet,"California, USA",False,prepaid,1
T47311,U41575,2026-01-24T17:39:30.731706Z,378.36,desktop,"Texas, USA",False,debit,0
T23281,U71246,2025-03-25T17:39:30.731706Z,49.46,mobile,"California, USA",False,debit,0
T60192,U90395,2025-08-05T17:39:30.731706Z,44.75,tablet,"New York, USA",False,prepaid,1
T87475,U97266,2025-01-31T17:39:30.731706Z,50.91,mobile,"New York, USA",False,prepaid,1
T54569,U21745,2025-09-07T17:39:30.731706Z,1462.88,mobile,"Texas, USA",False,prepaid,0
T85932,U27482,2025-11-08T17:39:30.731706Z,21.49,desktop,"Florida, USA",False,prepaid,0
T54413,U43756,2025-02-14T17:39:30.731706Z,1802.01,mobile,"Texas, USA",False,prepaid,1
T15626,U17424,2025-03-23T17:39:30.731706Z,561.31,tablet,"New York, USA",False,credit,0
T36385,U48158,2025-08-20T17:39:30.731706Z,195.9,desktop,"California, USA",False,credit,0
T92970,U95553,2025-08-11T17:39:30.731706Z,246.02,mobile,"Florida, USA",False,prepaid,0
T10526,U78760,2025-09-03T17:39:30.731706Z,31.19,mobile,"New York, USA",False,credit,0
T84744,U15109,2025-05-21T17:39:30.731706Z,223.06,tablet,"Florida, USA",False,credit,0
T40015,U39009,2025-04-29T17:39:30.731706Z,319.93,tablet,"California, USA",False,debit,0
T59930,U42981,2025-07-22T17:39:30.731706Z,83.14,mobile,"Florida, USA",False,prepaid,1
T58787,U45488,2025-08-14T17:39:30.731706Z,373.81,desktop,"Florida, USA",True,credit,0
T55004,U93869,2025-04-11T17:39:30.731706Z,20.46,desktop,"Texas, USA",True,prepaid,0
T85897,U91905,2025-06-16T17:39:30.731706Z,55.83,tablet,"Florida, USA",True,prepaid,0
T59786,U11925,2025-02-02T17:39:30.731706Z,688.05,tablet,"Texas, USA",False,debit,0
T36289,U13389,2025-04-18T17:39:30.731706Z,311.01,tablet,"Texas, USA",True,debit,1
T84137,U43662,2025-01-27T17:39:30.731706Z,31.21,desktop,"New York, USA",True,debit,1
T11560,U89148,2025-09-24T17:39:30.731706Z,61.86,tablet,"New York, USA",False,credit,0
T80326,U99899,2025-04-16T17:39:30.731706Z,15.81,tablet,"New York, USA",False,credit,1
T70315,U89561,2025-09-24T17:39:30.731706Z,285.04,mobile,"New York, USA",True,credit,0
T82541,U69321,2025-02-17T17:39:30.731706Z,415.68,desktop,"Florida, USA",False,debit,1
T14703,U75128,2025-10-01T17:39:30.731706Z,968.94,desktop,"Texas, USA",False,debit,1
T39426,U27778,2025-07-29T17:39:30.731706Z,608.64,tablet,"California, USA",False,credit,0
T37490,U29975,2025-05-04T17:39:30.731706Z,1797.94,tablet,"New York, USA",True,debit,1
T36916,U74324,2025-03-06T17:39:30.731706Z,71.0,mobile,"Texas, USA",False,prepaid,0
T79350,U55893,2025-06-18T17:39:30.731706Z,124.02,mobile,"Florida, USA",False,credit,0
T23760,U31927,2025-07-07T17:39:30.731706Z,875.15,tablet,"Texas, USA",False,prepaid,0
T86367,U81260,2025-10-17T17:39:30.731706Z,276.7,mobile,"California, USA",False,prepaid,0
T92495,U81635,2025-11-04T17:39:30.731706Z,28.02,mobile,"Texas, USA",False,credit,1
T19847,U36155,2025-12-02T17:39:30.731706Z,660.25,tablet,"New York, USA",True,credit,1
T91537,U76504,2025-11-13T17:39:30.731706Z,689.6,mobile,"California, USA",True,debit,0
T39856,U19200,2025-07-22T17:39:30.731706Z,10.62,desktop,"Florida, USA",False,prepaid,0
T55272,U99393,2025-11-05T17:39:30.731706Z,506.08,tablet,"Florida, USA",False,debit,0
T89141,U22115,2025-06-24T17:39:30.731706Z,7.61,mobile,"Florida, USA",False,debit,0
T20225,U33196,2026-01-11T17:39:30.731706Z,200.48,tablet,"New York, USA",True,credit,1
T25577,U98009,2025-05-18T17:39:30.731706Z,209.93,desktop,"Florida, USA",False,credit,1
T52823,U47208,2025-11-22T17:39:30.731706Z,627.33,mobile,"Texas, USA",False,debit,0
T88916,U36984,2025-04-24T17:39:30.731706Z,107.15,desktop,"New York, USA",False,prepaid,0
T83384,U97128,2025-07-19T17:39:30.731706Z,1047.04,mobile,"California, USA",True,prepaid,1
T39165,U77203,2025-05-06T17:39:30.731706Z,432.42,desktop,"New York, USA",False,prepaid,1
T13712,U11367,2025-11-30T17:39:30.731706Z,261.8,mobile,"Texas, USA",False,debit,0
T19108,U87714,2025-12-06T17:39:30.731706Z,198.79,mobile,"California, USA",False,prepaid,0
T73449,U86743,2025-05-14T17:39:30.731706Z,257.21,desktop,"New York, USA",False,credit,0
T45631,U41348,2025-09-02T17:39:30.731706Z,313.06,mobile,"New York, USA",False,prepaid,1
T83770,U36966,2025-12-16T17:39:30.731706Z,343.47,tablet,"Texas, USA",True,prepaid,0
T79967,U69182,2025-05-21T17:39:30.731706Z,570.77,mobile,"Florida, USA",False,prepaid,0
T47650,U56881,2025-12-24T17:39:30.731706Z,166.32,mobile,"Florida, USA",False,credit,0
T41010,U64691,2025-07-01T17:39:30.731706Z,944.48,mobile,"California, USA",False,credit,1
T54139,U58713,2025-03-04T17:39:30.731706Z,186.2,tablet,"Texas, USA",True,debit,0
T34611,U22149,2025-10-14T17:39:30.731706Z,422.86,mobile,"New York, USA",True,credit,0
T33669,U44068,2025-08-26T17:39:30.731706Z,225.07,desktop,"California, USA",False,debit,0
T41401,U81831,2025-08-20T17:39:30.731706Z,203.34,tablet,"California, USA",False,prepaid,0
T41910,U46041,2026-01-04T17:39:30.731706Z,75.31,desktop,"California, USA",False,credit,1
T27633,U27014,2025-06-22T17:39:30.731706Z,25.15,mobile,"Texas, USA",False,prepaid,0
T67993,U84696,2025-04-12T17:39:30.731706Z,249.93,mobile,"New York, USA",True,prepaid,0
T42117,U98700,2025-07-10T17:39:30.731706Z,322.31,tablet,"Texas, USA",False,debit,0
T27625,U43893,2025-03-07T17:39:30.731706Z,589.85,mobile,"New York, USA",False,credit,0
T24210,U26456,2025-06-09T17:39:30.731706Z,342.91,desktop,"California, USA",False,credit,1
T79249,U80587,2025-01-29T17:39:30.731706Z,18.12,mobile,"Florida, USA",False,debit,0
T55113,U84069,2025-12-16T17:39:30.731706Z,13.44,desktop,"New York, USA",False,debit,0
T63363,U10661,2025-11-20T17:39:30.731706Z,23.24,mobile,"California, USA",False,prepaid,0
T10207,U98733,2025-05-25T17:39:30.731706Z,431.22,mobile,"Florida, USA",False,prepaid,0
T82982,U65922,2025-05-08T17:39:30.731706Z,15.17,mobile,"California, USA",False,debit,1
T14895,U86559,2025-03-03T17:39:30.731706Z,43.38,mobile,"New York, USA",True,prepaid,0
T94328,U45585,2025-09-30T17:39:30.731706Z,201.75,tablet,"Texas, USA",False,prepaid,0
T74977,U93362,2025-06-16T17:39:30.731706Z,3636.2,mobile,"Florida, USA",True,prepaid,1
T35169,U97468,2025-11-11T17:39:30.731706Z,280.45,desktop,"New York, USA",False,prepaid,0
T50461,U83800,2025-07-06T17:39:30.731706Z,142.94,desktop,"Texas, USA",False,debit,1
T15656,U84520,2025-10-04T17:39:30.731706Z,495.15,tablet,"New York, USA",True,debit,0
T21138,U45298,2025-02-18T17:39:30.731706Z,823.15,desktop,"Florida, USA",False,credit,1
T50108,U99099,2025-11-08T17:39:30.731706Z,32.54,mobile,"Texas, USA",False,debit,0
T45262,U88213,2025-07-03T17:39:30.731706Z,60.85,desktop,"New York, USA",False,prepaid,0
T89364,U52913,2025-10-17T17:39:30.731706Z,59.49,desktop,"Texas, USA",False,prepaid,0
T35032,U47846,2025-04-17T17:39:30.731706Z,46.78,mobile,"California, USA",False,debit,0
T33291,U51568,2025-10-11T17:39:30.731706Z,250.73,mobile,"California, USA",False,credit,0
T22411,U67009,2025-03-28T17:39:30.731706Z,392.67,tablet,"New York, USA",False,prepaid,0
T36715,U37605,2025-02-07T17:39:30.731706Z,48.67,mobile,"New York, USA",False,prepaid,0
T99818,U16548,2025-09-27T17:39:30.731706Z,390.56,mobile,"New York, USA",False,prepaid,0
T70428,U32740,2025-09-23T17:39:30.731706Z,248.09,mobile,"New York, USA",True,credit,0
T80331,U20634,2025-08-03T17:39:30.731706Z,172.95,tablet,"California, USA",False,debit,0
T43361,U31223,2025-09-08T17:39:30.731706Z,117.86,mobile,"New York, USA",False,debit,0
T63352,U40911,2025-02-10T17:39:30.731706Z,806.23,mobile,"California, USA",False,credit,1
T30281,U38671,2025-09-13T17:39:30.731706Z,154.73,tablet,"Texas, USA",False,prepaid,0
T33472,U59230,2026-01-02T17:39:30.731706Z,182.66,tablet,"California, USA",False,credit,0
T51991,U80476,2025-08-12T17:39:30.731706Z,22.15,tablet,"California, USA",True,prepaid,0
T93588,U26531,2025-10-28T17:39:30.731706Z,122.59,tablet,"New York, USA",False,prepaid,0
T74027,U67906,2025-10-12T17:39:30.731706Z,598.24,desktop,"Florida, USA",True,debit,1
T88815,U49279,2025-09-01T17:39:30.731706Z,572.91,mobile,"California, USA",False,debit,0
T60979,U16979,2025-04-12T17:39:30.731706Z,17.94,mobile,"New York, USA",False,prepaid,0
T44964,U95667,2025-06-13T17:39:30.731706Z,482.32,desktop,"New York, USA",False,prepaid,1
T70703,U74379,2025-09-07T17:39:30.731706Z,34.27,tablet,"California, USA",False,prepaid,0
T80119,U48714,2025-12-24T17:39:30.731706Z,144.69,mobile,"New York, USA",False,debit,0
T86971,U74946,2025-07-17T17:39:30.731706Z,9.6,mobile,"Texas, USA",False,debit,1
T86272,U47643,2025-09-14T17:39:30.731706Z,588.97,mobile,"California, USA",True,debit,1
T33911,U65533,2025-06-08T17:39:30.731706Z,149.38,tablet,"Florida, USA",False,prepaid,1
T33387,U58908,2025-10-09T17:39:30.731706Z,35.31,tablet,"Florida, USA",False,prepaid,0
T56486,U30567,2025-03-09T17:39:30.731706Z,329.94,tablet,"California, USA",False,prepaid,0
T93986,U91942,2025-02-23T17:39:30.731706Z,516.53,tablet,"California, USA",False,prepaid,0
T75095,U32656,2026-01-23T17:39:30.731706Z,324.08,mobile,"Florida, USA",True,debit,0
T78056,U13081,2025-11-22T17:39:30.731706Z,239.27,tablet,"New York, USA",False,credit,0
T94899,U57701,2025-09-15T17:39:30.731706Z,357.81,desktop,"Florida, USA",False,debit,0
T50372,U99464,2025-02-13T17:39:30.731706Z,296.93,tablet,"Texas, USA",False,prepaid,1
T19596,U28313,2025-02-17T17:39:30.731706Z,183.67,desktop,"California, USA",False,debit,1
T69796,U90073,2025-03-03T17:39:30.731706Z,45.65,mobile,"California, USA",True,prepaid,0
T46060,U79122,2025-08-28T17:39:30.731706Z,82.48,desktop,"Texas, USA",False,debit,1
T26029,U24226,2025-07-02T17:39:30.731706Z,5.8,tablet,"California, USA",False,prepaid,0
T52092,U72539,2025-02-23T17:39:30.731706Z,1003.92,mobile,"Texas, USA",False,prepaid,0
T15469,U38854,2025-05-17T17:39:30.731706Z,142.3,desktop,"Texas, USA",False,prepaid,0
T85054,U26184,2025-05-22T17:39:30.731706Z,771.6,mobile,"New York, USA",False,prepaid,1
T40254,U94045,2025-05-28T17:39:30.731706Z,121.06,mobile,"New York, USA",False,credit,0
T18329,U44865,2025-10-10T17:39:30.731706Z,6.64,mobile,"New York, USA",False,credit,0
T93820,U94530,2025-09-26T17:39:30.731706Z,14.44,tablet,"New York, USA",False,credit,0
T32436,U52963,2025-03-14T17:39:30.731706Z,428.44,mobile,"Florida, USA",True,debit,1
